English,Português
you,você
i,eu
to,para
a,a
and,e
that,que
of,de
in,em
what,o que
we,nós
me,meu
this,esse
he,ele
for,para
my,meu
have,ter
your,seu
do,fazer
was,era
no,não
not,não
be,ser
are,são
don,vestir
know,saber
can,pode
with,com
but,mas
all,todos
so,então
there,lá
here,aqui
they,eles
like,como
get,pegar
she,ela
go,ir
if,se
out,fora
about,sobre
up,acima
him,ele
now,agora
oh,oh
one,um
come,vir
well,bem
how,como
yeah,sim
will,vai
got,pegou
want,querer
think,pensar
as,como
see,ver
did,fez
good,bom
who,Quem
why,por que
from,de
let,deixar
his,dele
yes,sim
when,quando
going,indo
time,tempo
an,um
okay,OK
back,voltar
us,nós
would,seria
them,eles
where,onde
were,eram
take,pegar
then,então
had,tive
or,ou
been,estive
our,nosso
gonna,vai
tell,dizer
really,realmente
man,homem
some,alguns
say,dizer
hey,ei
could,poderia
didn,não
by,por
need,precisar
has,tem
more,mais
down,abaixo
make,fazer
very,muito
never,nunca
only,apenas
people,pessoas
over,sobre
because,porque
little,pequeno
please,por favor
love,amor
should,deve
mean,significar
said,disse
sorry,desculpe
give,dar
off,desligado
am,sou
thank,agradecer
any,qualquer
two,dois
much,muito
doing,fazendo
sure,claro
thing,coisa
these,esses
help,ajuda
into,em
anything,qualquer coisa
still,ainda
find,encontrar
life,vida
nothing,nada
sir,senhor
day,dia
god,Deus
work,trabalhar
their,deles
uh,uh
again,de novo
maybe,talvez
must,deve
before,antes
other,outro
wait,espere
stop,parar
call,chamar
after,depois
won,ganho
talk,falar
away,ausente
than,que
thought,pensamento
home,lar
night,noite
put,colocar
great,ótimo
those,aqueles
last,durar
better,melhorar
everything,tudo
told,contado
new,novo
things,coisas
always,sempre
keep,manter
long,longo
years,anos
leave,deixar
does,faz
money,dinheiro
doesn,não
name,nome
place,lugar
ever,sempre
feel,sentir
guys,pessoal
father,pai
guy,cara
made,feito
old,velho
isn,isn
which,qual
big,grande
done,feito
nice,legal
believe,acreditar
girl,garota
someone,alguém
fine,multar
thanks,obrigado
wanted,desejado
kind,tipo
coming,chegando
house,casa
every,todo
ok,OK
through,através
being,ser
course,curso
stay,ficar
left,esquerda
dad,pai
enough,suficiente
happened,ocorrido
came,veio
may,poderia
mother,mãe
world,mundo
bad,ruim
might,poder
three,três
today,hoje
listen,ouvir
another,outro
understand,entender
hear,ouvir
remember,lembrar
ask,perguntar
own,ter
same,mesmo
show,mostrar
else,outro
kill,matar
talking,conversando
found,encontrado
getting,recebendo
care,Cuidado
car,carro
looking,olhando
son,filho
try,tentar
woman,mulher
went,foi
hi,oi
dead,morto
many,muitos
mind,mente
friend,amigo
best,melhor
mom,mãe
hell,inferno
morning,manhã
trying,tentando
together,junto
yourself,você mesmo
job,trabalho
saw,serra
family,família
real,real
without,sem
baby,bebê
room,sala
wouldn,não
already,já
move,mover
most,maioria
seen,visto
live,ao vivo
miss,perder
actually,na verdade
huh,huh
shit,merda
heard,ouviu
once,uma vez
ready,preparar
head,cabeça
called,chamado
used,usado
idea,ideia
knew,sabia
hold,segurar
happy,feliz
such,tal
fuck,Porra
brother,irmão
also,também
pretty,bonito
took,pegou
haven,refúgio
yet,ainda
men,homens
whole,todo
use,usar
while,enquanto
since,desde
wife,esposa
days,dias
guess,adivinhar
tomorrow,amanhã
matter,matéria
meet,encontrar
bring,trazer
everyone,todos
run,correr
wanna,quero
hard,duro
ah,Ah
alone,sozinho
myself,eu mesmo
school,escola
gone,perdido
um,hum
end,fim
saying,ditado
phone,telefone
play,jogar
looks,visual
couldn,não poderia
fucking,Porra
problem,problema
few,alguns
gotta,preciso
ago,atrás
open,abrir
anyone,qualquer um
killed,morto
hope,ter esperança
face,face
until,até
lost,perdido
police,polícia
excuse,desculpa
turn,vez
business,negócios
wants,quer
says,diz
TRUE,verdadeiro
die,morrer
heart,coração
soon,breve
each,cada
worry,preocupar
later,mais tarde
year,ano
watch,assistir
music,música
hand,mão
having,tendo
beautiful,lindo
doctor,doutor
sit,sentar
eat,comer
thinking,pensamento
young,jovem
second,segundo
working,trabalhando
water,água
person,pessoa
part,papel
kids,crianças
late,tarde
exactly,exatamente
under,sob
death,morte
minute,minuto
crazy,louco
forget,esquecer
everybody,todo mundo
kid,criança
gave,deu
happen,acontecer
damn,droga
five,cinco
drink,bebida
far,distante
its,isso é
whatever,qualquer que seja
eyes,olhos
shut,fechar
aren,are
hit,bater
taking,tirando
easy,fácil
times,vezes
check,verificar
hands,mãos
minutes,minutos
deal,negócio
different,diferente
means,significa
point,apontar
inside,dentro
makes,faz
asked,perguntado
somebody,alguém
mine,meu
making,fazendo
body,corpo
afraid,com medo
sleep,dormir
dear,querido
quite,bastante
four,quatro
anyway,de qualquer forma
close,fechar
ain,Ain
party,festa
fun,diversão
against,contra
word,palavra
comes,vem
important,importante
set,definir
story,história
daughter,filha
least,ao menos
waiting,esperando
wish,desejar
moment,momento
fight,lutar
week,semana
